Epoch,1Loss,2Loss,3Loss,4Loss,5Loss,6Loss,7Loss,8Loss
0,0.6931473016738892,0.6931537389755249,0.6927624940872192,0.6903614401817322,0.6931473016738892,0.6930800080299377,0.69427490234375,0.6941754817962646
1,0.6930803060531616,0.6929561495780945,0.6902194023132324,0.6754506230354309,0.693070113658905,0.6928366422653198,0.6919368505477905,0.676747739315033
2,0.6929808855056763,0.692761242389679,0.68784099817276,0.6619928479194641,0.6929664015769958,0.6925946474075317,0.6899831891059875,0.6616353988647461
3,0.6928761005401611,0.6925522685050964,0.6853052377700806,0.6491398811340332,0.6928544640541077,0.6923291683197021,0.6880329847335815,0.6477946639060974
4,0.6927670240402222,0.692327082157135,0.6823880076408386,0.6362943053245544,0.6927382946014404,0.6920258402824402,0.6857691407203674,0.634414553642273
5,0.6926570534706116,0.6920825242996216,0.6789219975471497,0.6231168508529663,0.6926154494285583,0.6916742920875549,0.6829847097396851,0.6209470629692078
6,0.692542552947998,0.6918143630027771,0.6747276782989502,0.6094831824302673,0.6924901604652405,0.691264271736145,0.6795722246170044,0.6069836020469666
7,0.6924238801002502,0.6915157437324524,0.6696764230728149,0.5954655408859253,0.6923592686653137,0.6907824873924255,0.6753988862037659,0.5921938419342041
8,0.6923023462295532,0.6911815404891968,0.6636314392089844,0.5811532735824585,0.6922240853309631,0.6902121901512146,0.6703218221664429,0.5763310194015503
9,0.6921769976615906,0.6908054351806641,0.6565011739730835,0.5665820837020874,0.692084550857544,0.6895304918289185,0.6642036437988281,0.5592976212501526
10,0.6920478343963623,0.690374493598938,0.6481999158859253,0.5517433881759644,0.6919398903846741,0.6887056827545166,0.6569473743438721,0.5413290858268738
11,0.6919156908988953,0.6898759007453918,0.638675332069397,0.536666750907898,0.6917890906333923,0.6877039074897766,0.6485078930854797,0.5230130553245544
12,0.6917787790298462,0.6892920136451721,0.6278810501098633,0.5216131806373596,0.6916347146034241,0.6864864230155945,0.638742208480835,0.5051683783531189
13,0.6916376948356628,0.6885985732078552,0.6158774495124817,0.5069608092308044,0.6914743781089783,0.6850099563598633,0.6275312900543213,0.48846352100372314
14,0.6914919018745422,0.6877718567848206,0.60284823179245,0.4933493435382843,0.6913082003593445,0.6832088232040405,0.6148722171783447,0.47316834330558777
15,0.6913416385650635,0.686779797077179,0.5890328288078308,0.4815058410167694,0.6911349296569824,0.681013286113739,0.6008738279342651,0.45938488841056824
16,0.691185474395752,0.6855760812759399,0.5748292803764343,0.47176826000213623,0.6909546852111816,0.678338885307312,0.5857698321342468,0.4475324749946594
17,0.6910225749015808,0.6841071248054504,0.560693621635437,0.4641795754432678,0.690768301486969,0.6751016974449158,0.5698757171630859,0.4383752644062042
18,0.6908538937568665,0.6823102831840515,0.5471193790435791,0.4588203430175781,0.6905736327171326,0.6711997389793396,0.5536205172538757,0.4319576621055603
19,0.6906774640083313,0.6801084876060486,0.5344777703285217,0.4556061923503876,0.6903733015060425,0.6665422916412354,0.5374590754508972,0.42714664340019226
20,0.6904953122138977,0.677409291267395,0.522986114025116,0.45405927300453186,0.6901611685752869,0.6610680222511292,0.5219830274581909,0.42270129919052124
21,0.6903051137924194,0.674098551273346,0.5129372477531433,0.453080952167511,0.6899399757385254,0.654758632183075,0.5077919363975525,0.4179900586605072
22,0.690106987953186,0.6700438857078552,0.5043824315071106,0.45150226354599,0.6897093057632446,0.6476877927780151,0.49537378549575806,0.41229894757270813
23,0.6899004578590393,0.6650959849357605,0.49703943729400635,0.44859543442726135,0.6894667744636536,0.6401052474975586,0.48485931754112244,0.4051969051361084
24,0.6896836757659912,0.6590977907180786,0.49056103825569153,0.4442148506641388,0.689211368560791,0.6325125098228455,0.4758019745349884,0.39732202887535095
25,0.6894567608833313,0.6518850326538086,0.48473626375198364,0.4387558400630951,0.6889440417289734,0.625666081905365,0.46725818514823914,0.38948720693588257
26,0.6892185807228088,0.643321692943573,0.47945651412010193,0.43303343653678894,0.6886634826660156,0.6204633712768555,0.4582829177379608,0.38209787011146545
27,0.6889678835868835,0.6333217620849609,0.4746958613395691,0.42773106694221497,0.688366174697876,0.617191731929779,0.44832485914230347,0.37569892406463623
28,0.6887050867080688,0.6219305396080017,0.47029218077659607,0.4232010841369629,0.6880520582199097,0.6141846776008606,0.4370025098323822,0.3704356253147125
29,0.6884253025054932,0.6094339489936829,0.466228723526001,0.41949737071990967,0.6877190470695496,0.6090036034584045,0.4245615303516388,0.36565467715263367
30,0.6881293058395386,0.5964362025260925,0.4624946117401123,0.4164496660232544,0.6873656511306763,0.6015262007713318,0.4120498597621918,0.3611418306827545
31,0.6878174543380737,0.5838878154754639,0.4590626060962677,0.41359278559684753,0.686991810798645,0.5936393737792969,0.40035536885261536,0.3562788665294647
32,0.6874865293502808,0.5730019211769104,0.4558909833431244,0.41053617000579834,0.6865948438644409,0.5868701934814453,0.39039263129234314,0.35077351331710815
33,0.6871343851089478,0.5644509792327881,0.4527852237224579,0.4070998430252075,0.6861711740493774,0.5810484290122986,0.38202083110809326,0.3448064923286438
34,0.6867591738700867,0.557343065738678,0.4494170844554901,0.4032098650932312,0.685721218585968,0.5749611258506775,0.3745831549167633,0.3384461998939514
35,0.6863574981689453,0.5499565005302429,0.4456265866756439,0.39909884333610535,0.6852401494979858,0.5675786137580872,0.36734539270401,0.3322540521621704
36,0.6859310865402222,0.5423059463500977,0.44135475158691406,0.39496615529060364,0.6847254633903503,0.5588318109512329,0.35973185300827026,0.32629188895225525
37,0.6854732036590576,0.5362563133239746,0.4368702173233032,0.390998512506485,0.6841743588447571,0.5496088862419128,0.35254722833633423,0.32061880826950073
38,0.684982419013977,0.5322891473770142,0.43240082263946533,0.3873032033443451,0.6835850477218628,0.5413905382156372,0.3472546339035034,0.3147803246974945
39,0.6844590902328491,0.5281786322593689,0.42821797728538513,0.38368338346481323,0.6829515695571899,0.53520667552948,0.3429914712905884,0.30868759751319885
