Epoch,ScalVis_GausVisS:1.0_RecL10N1024val_loss,ScalVis_DataProcCombine_RecL10N1024val_loss,ScalVis_GaussAndOrigS:1.0_RecL10N1024val_loss,ScalVis_ProcWithVis_RecL10N1024val_loss
1,0.6794007420539856,0.6908562779426575,0.6808713674545288,0.6898932456970215
2,0.6695464253425598,0.6878321766853333,0.6715270280838013,0.6873704791069031
3,0.6582950949668884,0.6847330927848816,0.6611794233322144,0.6846661567687988
4,0.6451343894004822,0.68119215965271,0.649013102054596,0.6814414858818054
5,0.6297560930252075,0.6768822073936462,0.6347262859344482,0.6776303052902222
6,0.6123517155647278,0.6715894341468811,0.618525505065918,0.6730908155441284
7,0.5936659574508667,0.6651799082756042,0.6008022427558899,0.6677004098892212
8,0.5750786066055298,0.6573915481567383,0.5826314687728882,0.6613060832023621
9,0.5586307048797607,0.6480386257171631,0.5654467940330505,0.6538256406784058
10,0.5467042922973633,0.6370502710342407,0.5515599250793457,0.6451603174209595
11,0.5408810377120972,0.6243786215782166,0.5428168177604675,0.6352919340133667
12,0.5400742292404175,0.610095739364624,0.5391627550125122,0.6242232918739319
13,0.5403968095779419,0.594414472579956,0.5380917191505432,0.612022876739502
14,0.5387049317359924,0.5777252912521362,0.5361942648887634,0.598941445350647
15,0.5345280766487122,0.5607244968414307,0.5319845676422119,0.5854160785675049
16,0.5295155644416809,0.5443002581596375,0.5264475345611572,0.5718590021133423
17,0.5257523059844971,0.5292847752571106,0.522123396396637,0.5587300062179565
18,0.524237334728241,0.5162385702133179,0.520437479019165,0.5464168190956116
19,0.5238802433013916,0.5054520964622498,0.5194841027259827,0.5350610613822937
20,0.5223151445388794,0.4966333508491516,0.5165805220603943,0.5247957110404968
21,0.519434928894043,0.4895182251930237,0.5132607817649841,0.5157164335250854
22,0.5172686576843262,0.4850407540798187,0.5120015144348145,0.5081259608268738
23,0.5169432163238525,0.482666939496994,0.5116148591041565,0.5016920566558838
24,0.5172784328460693,0.48080116510391235,0.5092665553092957,0.4962625801563263
25,0.5165566802024841,0.4791942238807678,0.505200982093811,0.49198052287101746
26,0.5141518712043762,0.47785988450050354,0.5031443238258362,0.4888930320739746
27,0.511165201663971,0.47601068019866943,0.5034146904945374,0.48702308535575867
28,0.5092642903327942,0.47397691011428833,0.500748336315155,0.48609229922294617
29,0.5088406801223755,0.47158244252204895,0.5001173615455627,0.4856104850769043
30,0.5077269673347473,0.46873414516448975,0.5004604458808899,0.48516976833343506
31,0.5057460069656372,0.46599501371383667,0.4992733895778656,0.4844692349433899
32,0.5052179098129272,0.46237170696258545,0.5018067359924316,0.4835241138935089
33,0.5051770210266113,0.4566955864429474,0.5005757212638855,0.4827112555503845
34,0.5037442445755005,0.44854527711868286,0.4990522265434265,0.48209962248802185
35,0.502933144569397,0.4395807385444641,0.49781906604766846,0.4814550578594208
36,0.5041806697845459,0.43034863471984863,0.4962352216243744,0.48068347573280334
37,0.5023542046546936,0.4202776253223419,0.4938822388648987,0.479513943195343
38,0.5021411180496216,0.41109558939933777,0.48822611570358276,0.4773710072040558
39,0.5009745955467224,0.4030130207538605,0.48427608609199524,0.4740268290042877
40,0.5000750422477722,0.39475229382514954,0.4804176688194275,0.46953490376472473
41,0.4974142611026764,0.3883466124534607,0.47632718086242676,0.4640291929244995
42,0.49309858679771423,0.38296961784362793,0.47286513447761536,0.4575973451137543
43,0.48910242319107056,0.378690630197525,0.4688400328159332,0.4507175087928772
44,0.4858013987541199,0.3789966106414795,0.46633580327033997,0.4434073269367218
45,0.48116329312324524,0.3762643039226532,0.46175694465637207,0.4354952871799469
46,0.4777810871601105,0.38943973183631897,0.4574783444404602,0.4274319112300873
47,0.4737064838409424,0.37703737616539,0.454275518655777,0.41933318972587585
48,0.47069400548934937,0.37900540232658386,0.44919171929359436,0.41110852360725403
49,0.4668479561805725,0.39550459384918213,0.4438846707344055,0.40383780002593994
50,0.4621228873729706,0.3743906319141388,0.44108790159225464,0.3971017599105835
51,0.4583835303783417,0.3737155497074127,0.4371355175971985,0.39193645119667053
52,0.45397236943244934,0.3935355842113495,0.43254798650741577,0.38782891631126404
53,0.4482548236846924,0.3750707805156708,0.4281795620918274,0.3854464292526245
54,0.44443604350090027,0.3708176910877228,0.42370444536209106,0.38163337111473083
55,0.44093596935272217,0.3828711211681366,0.4212455749511719,0.3870784640312195
56,0.4352773129940033,0.3885195553302765,0.41412848234176636,0.37631314992904663
57,0.4306727647781372,0.37657174468040466,0.41050177812576294,0.38726508617401123
58,0.42635366320610046,0.3840247690677643,0.409406840801239,0.38491567969322205
59,0.42422497272491455,0.4050736427307129,0.4054134786128998,0.36737143993377686
60,0.4168190360069275,0.3922550082206726,0.40837597846984863,0.3669680655002594
61,0.4126622974872589,0.4007267951965332,0.40153494477272034,0.387742280960083
62,0.40792006254196167,0.4284021258354187,0.40108439326286316,0.37162262201309204
63,0.40230581164360046,0.4128676950931549,0.3996376097202301,0.3652019798755646
64,0.4050406217575073,0.4267428517341614,0.3953723609447479,0.36949577927589417
65,0.40081915259361267,0.4555843770503998,0.4040399193763733,0.38601723313331604
66,0.396802693605423,0.43173250555992126,0.3970201313495636,0.3741587698459625
67,0.4066357910633087,0.4528419077396393,0.3980942666530609,0.37129393219947815
68,0.4013383984565735,0.47983115911483765,0.41033193469047546,0.37703025341033936
69,0.3939162492752075,0.4450256824493408,0.4008762240409851,0.39076876640319824
70,0.42344412207603455,0.4628400206565857,0.392117440700531,0.3813045918941498
71,0.3919147551059723,0.5197314023971558,0.4395371675491333,0.38133078813552856
72,0.39622530341148376,0.45767465233802795,0.40531107783317566,0.3901958763599396
73,0.39082473516464233,0.46313679218292236,0.4201606214046478,0.39840829372406006
74,0.40774717926979065,0.5349076390266418,0.40676116943359375,0.3902662992477417
75,0.39437025785446167,0.49337828159332275,0.4445219337940216,0.3933122754096985
76,0.3870447874069214,0.47402140498161316,0.41014358401298523,0.40710827708244324
77,0.38824379444122314,0.4829927980899811,0.3927064538002014,0.4007231891155243
78,0.39815598726272583,0.5344645380973816,0.393388956785202,0.3984881639480591
79,0.40697020292282104,0.5052211880683899,0.38798052072525024,0.4099911153316498
80,0.3923878073692322,0.4859970808029175,0.4104132652282715,0.40791669487953186
81,0.3939365744590759,0.49861007928848267,0.4093397259712219,0.40171104669570923
82,0.4053806662559509,0.5439790487289429,0.39375877380371094,0.4125644564628601
83,0.407754123210907,0.5214628577232361,0.39685848355293274,0.4100344777107239
84,0.39753997325897217,0.5069939494132996,0.3985222280025482,0.4045376181602478
85,0.4000641703605652,0.5250494480133057,0.41601091623306274,0.4180893301963806
86,0.42312049865722656,0.562936007976532,0.4219195544719696,0.4087657630443573
87,0.4020886719226837,0.5372769832611084,0.401760995388031,0.4147942066192627
88,0.405000776052475,0.5323753356933594,0.39882832765579224,0.421026349067688
89,0.4375761151313782,0.5606966018676758,0.40473616123199463,0.4135705828666687
90,0.4033054709434509,0.5760447382926941,0.42162320017814636,0.4350106120109558
91,0.4009801149368286,0.552370548248291,0.40607401728630066,0.4155931770801544
92,0.4394024610519409,0.5666710138320923,0.40216895937919617,0.4447880983352661
93,0.4001466929912567,0.6046737432479858,0.41580042243003845,0.42234066128730774
94,0.3984338939189911,0.5732460618019104,0.43751272559165955,0.4391022026538849
95,0.40352287888526917,0.5846298933029175,0.4173060655593872,0.43943846225738525
96,0.42617127299308777,0.6274726390838623,0.4126872718334198,0.4317604899406433
97,0.3981925845146179,0.5887044072151184,0.4337867200374603,0.45887285470962524
98,0.40015193819999695,0.6077045202255249,0.41955503821372986,0.4321633577346802
99,0.41682323813438416,0.6526913046836853,0.4185267984867096,0.46373671293258667
100,0.4202498197555542,0.6012709140777588,0.4381437599658966,0.4426668882369995
101,0.4020273983478546,0.6287562251091003,0.42595574259757996,0.4490159749984741
102,0.4051978290081024,0.6874434947967529,0.4287257790565491,0.4651021659374237
103,0.43389058113098145,0.6116290092468262,0.4484565854072571,0.4435836672782898
104,0.4144364297389984,0.6332710981369019,0.43102335929870605,0.48038163781166077
105,0.41579729318618774,0.7460625767707825,0.45541253685951233,0.449838250875473
106,0.4353184103965759,0.6228240728378296,0.44166266918182373,0.46839824318885803
107,0.4262634813785553,0.626400887966156,0.462767630815506,0.4753940999507904
108,0.4223255515098572,0.7022459506988525,0.4486083984375,0.45635300874710083
109,0.4407108724117279,0.706127405166626,0.46989694237709045,0.48871171474456787
110,0.43263518810272217,0.628844141960144,0.45041000843048096,0.4655415713787079
111,0.43211737275123596,0.6241147518157959,0.5089048147201538,0.47759485244750977
112,0.45251697301864624,0.6795635223388672,0.46770647168159485,0.4895392954349518
113,0.4350098967552185,0.7000964283943176,0.46612340211868286,0.4715271294116974
114,0.46275171637535095,0.6301293969154358,0.5516799688339233,0.5016601085662842
115,0.4373180866241455,0.6291455030441284,0.4762493968009949,0.47949710488319397
116,0.4449087381362915,0.6782459616661072,0.47854936122894287,0.4941420555114746
117,0.4552794098854065,0.7189003825187683,0.479339599609375,0.49623095989227295
118,0.4471299946308136,0.6522694230079651,0.5514991879463196,0.4882393181324005
119,0.48434239625930786,0.6406827569007874,0.43525055050849915,0.5162650942802429
120,0.4468179941177368,0.6723084449768066,0.4295566976070404,0.4880821108818054
